NK_Codetable,NK_Indication,NK_TimeMeasure
095EEB98-31D5-472E-91DB-CB2EF4306EED,1A287574-EAAC-4E1A-A5C8-0089D0DDB055,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1A3082BD-008E-4BB9-91C3-B73DCA278FDB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1A6D2256-0C12-4532-AC7F-426A495306D2,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1A81DE89-F010-4A86-9769-421DA912E16E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1AC256D3-D118-4A15-A42A-339F859684CF,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1B041365-132E-41F5-BF8E-C9D832888ADD,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1B16B7C7-5D80-4AB5-B38F-BCA72193A42D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1B3B4596-5AAE-4FC8-9BCB-43576FB6BE3D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1BB19A2F-483C-4AEF-A9EA-5D65B6DECC36,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1BC3CC46-F418-4BBC-8705-ACA1CFB57D1E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1BDCCC21-ED46-4092-AA63-8B6776041BA5,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1BFB346F-B2C3-422F-B39F-4AAF9DCFA38E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1CA6E6BE-406B-4354-8664-58FCE96E7739,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1CB8EB8D-D3FE-4689-81E1-F1D78853220F,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1CBDA676-A035-4503-B460-288BA5C0DA4B,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1CC775C0-F614-410B-9730-7085CDD742A2,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1CF66442-FF97-4D7C-AB47-6C7829AEC3CD,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1D0ADFFF-D253-4AD7-9945-26B8481110C0,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1D7CD5E0-1560-43BF-9D25-DDA46C61B470,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1DB5EEC0-2BA4-4552-B7F9-3295577C6B43,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1DB72BCD-88FD-49D7-967D-D8C6E69B6714,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1E35C26F-835A-48FA-B79E-9B648B56231A,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1E5ED708-54CF-4372-9E3B-8FB21998194B,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1E6BC2BF-99A6-4750-A2A3-694F9B477F7D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1E742FD3-8BD8-4A9A-9ED9-C37B514CD194,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1E846D7F-6AFF-4590-A504-36BB835C589D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
