dosageFrom,dosageTo,expenditureFrom,expenditureTo,NK_ApplicationArea,NK_Indication,NK_Measure,NK_TimeMeasure,serialNumber,waitingPeriod
0.250000,NULL,4.000000,NULL,46763FF9-FEC9-42C2-8D65-0757802CA9A4,947A5722-78E4-45A7-A43F-25B4800114AE,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,2,0
0.040000,NULL,NULL,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,137FEE87-16C4-4A03-A228-C58FA289AE18,NULL,NULL,19,0
NULL,NULL,0.500000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,17289271-D906-4253-989B-0BC12FB56D8D,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,18,7
NULL,NULL,0.400000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,4B72E174-C7F1-4CAB-A382-B5423866B45C,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,17,2
0.100000,NULL,1.200000,NULL,46763FF9-FEC9-42C2-8D65-0757802CA9A4,4B868400-C35B-47EC-A41C-728A03F284A1,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,20,0
0.140000,NULL,2.250000,NULL,85575C30-3421-425D-BE97-53343516987F,385D95C7-2BFE-485B-8573-10BF4173B032,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,2,5
0.250000,NULL,4.000000,NULL,46763FF9-FEC9-42C2-8D65-0757802CA9A4,AE9E3F5E-236D-4FD7-874D-E3893ED06664,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,1,NULL
NULL,NULL,3.000000,5.000000,4B077AA2-A7D9-4389-9EEE-97387CE6612D,4B47CE0F-DAE8-4E45-B035-C4C06761DE1D,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,14,NULL
NULL,NULL,1.500000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,96B1849A-3F67-4865-A095-F448CDCE7786,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,12,NULL
NULL,NULL,3.000000,5.000000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,B2DB03E0-CC0A-41F6-AAAE-FD7E40AB1882,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,13,NULL
0.009500,NULL,0.150000,NULL,46763FF9-FEC9-42C2-8D65-0757802CA9A4,4C88A79A-1307-4499-B76F-9D9FCBF5A30A,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,7,NULL
NULL,NULL,0.800000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,ABC83C93-00DB-459C-B05A-AE031BEEB62F,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,4,NULL
0.013000,NULL,0.210000,NULL,85575C30-3421-425D-BE97-53343516987F,CCBAE0D4-904B-49D6-A750-5D7CA0BAD8A2,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,6,5
NULL,NULL,NULL,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,CF3F4063-8353-426C-A945-D88DBC105382,NULL,NULL,6,NULL
NULL,NULL,NULL,1.500000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,40B6D645-9B61-48A1-AA4C-B82B787AEBC5,NULL,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,4,35
NULL,NULL,NULL,1.500000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,67975324-B802-4AAD-B902-7D88CECE94CB,NULL,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,1,35
NULL,NULL,NULL,1.500000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,6992426F-2F1F-49C5-A509-A93EE47FA4BC,NULL,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,3,35
NULL,NULL,0.250000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,9CBC8C11-F2D4-4E19-B5D1-01012D034B5E,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,71,NULL
