NK_Codetable,NK_Indication,NK_Measure
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D15C811-C54D-47D7-9E80-178DA4E0BAED,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,4D39C042-C4ED-4D7A-9313-9E114A47D8CC,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,4D431F89-E5BE-4434-8447-513762FBBFF4,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D477182-3774-41BB-9AD8-0886719333D6,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D5FA883-1224-4A8D-955D-826B87307E48,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
A61C9ED7-FCB9-4E8C-A9DA-FBD81C2EE1D1,4D6362D7-AE64-4CDD-98B0-3999751F9508,FA59BC2C-DF7D-4860-B167-C0D1EDF200FE
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D6B74D7-301C-4D2F-B665-B0702F38DB15,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D878ABF-DE85-4A01-96E4-1726C4CAD318,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D92F702-2A38-455A-AC21-A2DFD91A9173,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
EE216082-9121-4C8B-A103-D7C718A805AB,4DA2750E-BFC2-47BB-B65D-1519EA0470FA,F2F922DE-5B94-4FCA-A261-E22A7DD16FCD
B6121EAC-9C11-4572-8141-73D28B6B0C30,4DA2BA17-CA2D-4FE7-899D-1934A07191CC,BF45D8F6-A560-441D-8BB4-E266EB9790AD
