CODE,NK_Codetable_CultureForm,NK_CultureForm,NK_Indication
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0EFD031D-800C-4AB6-A24F-D0389E73338C
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0F10ADBA-A236-4F89-AEC4-6F2CFDACED48
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0F639092-8B97-459F-B29B-439DF5BF5904
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0FF4DB12-5170-4AFC-9E51-D9E1609633CB
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,102F4CBD-75B1-4A9B-BA1D-80B40B54C4DB
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,10AC586C-BE72-4359-9227-3B1CBBAAE81F
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,10D1480C-3824-4EF6-8F39-1E563F5CF2E8
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,10DAB0B2-691C-4E28-A57F-197D37EB4746
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,10F8F090-52A3-46B3-875D-0C48FFF0358D
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,1102EEB1-B1D8-43F1-A18A-5FFCB71EE581
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,11B725D8-4301-4C2F-BC00-38A8B2D2EC95
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,1202BBF8-6EA2-4FD6-B275-47B5F8FF4965
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,121673A8-A81E-4676-8A77-5F3A0951B0B0
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,1236B0D2-DA1B-40EE-A549-86532E1469C9
