"bk_Code","ID","PARENT_ID","VERSION","VALUE","LANGUAGE","CODE_VALUE","IUPAC_NAME","TEXT_KEY","BBCH_STAGE_FROM","BBCH_STAGE_TO","MIN_INTERNAL_BETWEEN_USES","MAX_APPLICATIONS","UNIT_MAX_APPLICATIONS","InfofitoRef"
"00E5D1C0-CC78-43FF-9629-83B2CE784AC0-fr","00E5D1C0-CC78-43FF-9629-83B2CE784AC0","","0","Autorisé seulement pour le traitement des surfaces rugueuses des locaux vides avant le stockage des produits de récolte séchés suivants: céréales, maïs, riz, féveroles, haricots, pois protéagineux, lentilles. ","fr","9934","","Obligation","","","","","",""
"00E5D1C0-CC78-43FF-9629-83B2CE784AC0-it","00E5D1C0-CC78-43FF-9629-83B2CE784AC0","","0","Autorizzato esclusivamente per il trattamento dei locali vuoti con superfici rugose prima dell'immagazzinaggio dei seguenti prodotti sechi: cereali, mais, riso, fave, fagioli, piselli proteici, lenticchie. ","it","9934","","Obligation","","","","","",""
"00E5D1C0-CC78-43FF-9629-83B2CE784AC0-de","00E5D1C0-CC78-43FF-9629-83B2CE784AC0","","0","Bewilligt nur für die Behandlung leerer Räume mit rauher Oberfläche vor der Einlagerung folgender getrockneter Erntegüter: Getreide, Mais, Reis, Ackerbohnen, Bohnen, Eiweisserbsen, Linsen.","de","9934","","Obligation","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-en","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","","en","","","Measure","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-fr","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","ml/pot","fr","","","Measure","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-de","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","ml/Topf","de","","","Measure","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-it","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","ml/vaso","it","","","Measure","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-en","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","","en","","","Culture","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-de","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","Blattsalate (Asteraceae)","de","","","Culture","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-it","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","Insalate a foglie (Asteracee)","it","","","Culture","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-fr","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","laitues à tondre (Asteraceae)","fr","","","Culture","","","","","",""
"9CB61F36-3040-485B-AF25-9A7149E5BB8F-en","9CB61F36-3040-485B-AF25-9A7149E5BB8F","","0","","en","14412","","Obligation","","","","","",""
"A4294833-D28A-4A4C-8D93-CA74D1C0DE1D-en","A4294833-D28A-4A4C-8D93-CA74D1C0DE1D","","0","","en","9439","","Obligation","","","","","",""
"A4294833-D28A-4A4C-8D93-CA74D1C0DE1D-de","A4294833-D28A-4A4C-8D93-CA74D1C0DE1D","","0","1-2 Anwendungen im Abstand von 10 Tagen.","de","9439","","Obligation","","","","","",""
"A4294833-D28A-4A4C-8D93-CA74D1C0DE1D-fr","A4294833-D28A-4A4C-8D93-CA74D1C0DE1D","","0","1-2 traitements avec un intervalle de 10 jours.","fr","9439","","Obligation","","","","","",""
"A4294833-D28A-4A4C-8D93-CA74D1C0DE1D-it","A4294833-D28A-4A4C-8D93-CA74D1C0DE1D","","0","1-2 trattamenti ad un intervallo di 10 giorni.","it","9439","","Obligation","","","","","",""
"A4326B8C-715C-4065-8FA4-3382FE30EF8A-en","A4326B8C-715C-4065-8FA4-3382FE30EF8A","","0","","en","","","Measure","","","","","",""
"A4326B8C-715C-4065-8FA4-3382FE30EF8A-de","A4326B8C-715C-4065-8FA4-3382FE30EF8A","","0","Organismen/Befallsherd","de","","","Measure","","","","","",""
"A4326B8C-715C-4065-8FA4-3382FE30EF8A-fr","A4326B8C-715C-4065-8FA4-3382FE30EF8A","","0","organismes/rond attaqué","fr","","","Measure","","","","","",""
"A4326B8C-715C-4065-8FA4-3382FE30EF8A-it","A4326B8C-715C-4065-8FA4-3382FE30EF8A","","0","organismi/focolaio","it","","","Measure","","","","","",""
"A451217F-EE95-41D7-87E0-517CC9F21599-en","A451217F-EE95-41D7-87E0-517CC9F21599","","0","Erineum leaf mite","en","","","Pest","","","","","",""
"A451217F-EE95-41D7-87E0-517CC9F21599-fr","A451217F-EE95-41D7-87E0-517CC9F21599","","0","érinose de la vigne","fr","","","Pest","","","","","",""
"A451217F-EE95-41D7-87E0-517CC9F21599-it","A451217F-EE95-41D7-87E0-517CC9F21599","","0","Eriofide della vite","it","","","Pest","","","","","",""
"A451217F-EE95-41D7-87E0-517CC9F21599-de","A451217F-EE95-41D7-87E0-517CC9F21599","","0","Pockenmilbe der Reben","de","","","Pest","","","","","",""
"A4714557-A830-48A9-A5E6-C59117C375DA-it","A4714557-A830-48A9-A5E6-C59117C375DA","","0","granulare","it","GR","","FormulationCode","","","","","",""
"A4714557-A830-48A9-A5E6-C59117C375DA-de","A4714557-A830-48A9-A5E6-C59117C375DA","","0","Granulat","de","GR","","FormulationCode","","","","","",""
"A4714557-A830-48A9-A5E6-C59117C375DA-en","A4714557-A830-48A9-A5E6-C59117C375DA","","0","Granule","en","GR","","FormulationCode","","","","","",""
"A4714557-A830-48A9-A5E6-C59117C375DA-fr","A4714557-A830-48A9-A5E6-C59117C375DA","","0","granulé","fr","GR","","FormulationCode","","","","","",""
"A47E38FB-58B9-45FC-8B35-6633C07B72E3-de","A47E38FB-58B9-45FC-8B35-6633C07B72E3","","","Milano","de","20153","","City","","","","","",""
"A47E38FB-58B9-45FC-8B35-6633C07B72E3-en","A47E38FB-58B9-45FC-8B35-6633C07B72E3","","","Milano","en","20153","","City","","","","","",""
"A47E38FB-58B9-45FC-8B35-6633C07B72E3-fr","A47E38FB-58B9-45FC-8B35-6633C07B72E3","","","Milano","fr","20153","","City","","","","","",""
"A47E38FB-58B9-45FC-8B35-6633C07B72E3-it","A47E38FB-58B9-45FC-8B35-6633C07B72E3","","","Milano","it","20153","","City","","","","","",""
"A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC-en","A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC","","0","","en","","","Pest","","","","","",""
"A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC-it","A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC","","0","Altiche","it","","","Pest","","","","","",""
"A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC-fr","A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC","","0","altises","fr","","","Pest","","","","","",""
"A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC-de","A48919D3-F8EC-409D-B0F3-3B5FD67FBFBC","","0","Erdflöhe","de","","","Pest","","","","","",""
"A496CB50-90A9-4CEF-9C96-266FCFF821C5-en","A496CB50-90A9-4CEF-9C96-266FCFF821C5","","0","","en","12387","","Obligation","","","","","",""
"A496CB50-90A9-4CEF-9C96-266FCFF821C5-de","A496CB50-90A9-4CEF-9C96-266FCFF821C5","","0","Beim Ansetzen der Giessbrühe sind Schutzhandschuhe zu tragen. Beim Ausbringen der Giessbrühe sind Schutzhandschuhe und ein Schutzanzug zu tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.","de","12387","","Obligation","","","","","",""
"A496CB50-90A9-4CEF-9C96-266FCFF821C5-it","A496CB50-90A9-4CEF-9C96-266FCFF821C5","","0","Durante la preparazione della poltiglia è necessario indossare guanti di protezione. Durante l'applicazione della poltiglia mediante innaffiamento è necessario indossare guanti di protezione e indumenti protettivi. I dispositivi di protezione individuale possono essere sostituiti, durante l'applicazione, da dispositivi di protezione tecnici (p.es. cabina del trattore chiusa), qualora vi sia la garanzia che offrano una protezione analoga o superiore. ","it","12387","","Obligation","","","","","",""
"A496CB50-90A9-4CEF-9C96-266FCFF821C5-fr","A496CB50-90A9-4CEF-9C96-266FCFF821C5","","0","Lors de la préparation de la bouillie de traitement porter des gants de protection. Lors de l'application de la bouillie de traitement porter des gants de protection et une tenue de protection. Les équipements techniques utilisés lors de l'application (p.ex. cabine de tracteur fermée) peuvent remplacer les équipements personnels de protection s'ils offrent de manière avérée une protection semblable ou supérieure. ","fr","12387","","Obligation","","","","","",""
"A49EE39A-F662-4EE7-B17B-CEA4CD07A891-en","A49EE39A-F662-4EE7-B17B-CEA4CD07A891","","0","","en","","","ApplicationComment","","","","","",""
"A49EE39A-F662-4EE7-B17B-CEA4CD07A891-it","A49EE39A-F662-4EE7-B17B-CEA4CD07A891","","0","In pre-emergenza fino a 2 giorni dopo la semina.","it","","","ApplicationComment","","","","","",""
"A49EE39A-F662-4EE7-B17B-CEA4CD07A891-fr","A49EE39A-F662-4EE7-B17B-CEA4CD07A891","","0","pré-levée, les 2 jours suivants le semis.","fr","","","ApplicationComment","","","","","",""
"A49EE39A-F662-4EE7-B17B-CEA4CD07A891-de","A49EE39A-F662-4EE7-B17B-CEA4CD07A891","","0","Vorauflauf, unmittelbar bis 2 Tage nach der Saat.","de","","","ApplicationComment","","","","","",""
"A4A33BA5-E971-448C-A580-D8B94CA084F7-en","A4A33BA5-E971-448C-A580-D8B94CA084F7","","0","","en","","","ApplicationComment","","","","","",""
"A4A33BA5-E971-448C-A580-D8B94CA084F7-de","A4A33BA5-E971-448C-A580-D8B94CA084F7","","0","Halbjahresschutz.","de","","","ApplicationComment","","","","","",""
"A4A33BA5-E971-448C-A580-D8B94CA084F7-fr","A4A33BA5-E971-448C-A580-D8B94CA084F7","","0","protection pour une demi année.","fr","","","ApplicationComment","","","","","",""
"A4A33BA5-E971-448C-A580-D8B94CA084F7-it","A4A33BA5-E971-448C-A580-D8B94CA084F7","","0","Protezione per mezzo anno.","it","","","ApplicationComment","","","","","",""
"A4B4F56B-9F6B-407A-9AFB-88379ED3F987-en","A4B4F56B-9F6B-407A-9AFB-88379ED3F987","","0","","en","13053","","Obligation","","","","","",""
