NK_Codetable,NK_Indication,NK_Obligation,ObligationID
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,2CF92BDB-CA8B-4775-B65F-C532BD78BD77,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,325CDB44-24C9-4BF5-9E5E-F13EFFF1FE2E,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,37F0BCFC-ECE7-47DF-BF0D-C8D37D96F24B,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,393D4B63-3C8B-4470-8C33-EF045A51DCEE,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,3F9EEF8C-510A-4E48-992C-8F3BAB6EC162,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,4034C0B3-4ACC-45A0-82DB-744D1D7606FE,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,404C3084-8C6D-4EDD-8058-85D845F35837,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,54795E48-F6EE-4A64-955B-E6632CE54EDC,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,56DA2FFC-8491-484B-85D0-E810E0DFCA3F,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,5CEF4F30-CBAF-4781-B506-F4F74E595CBD,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,5E6BD12C-8B56-4916-BB2C-6277CA542958,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,5FEB08AE-EB05-4752-85A0-54921783F77B,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,61F6C92C-2210-4687-A60A-2729DA641ECA,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
