NK_Codetable_Culture                 NK_Codetable_Culture_AdditionalText  NK_Codetable_Parent_Culture          NK_Culture                           NK_Indication
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 91BB833B-15B0-4422-9BDB-3E32815415A1
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 93CB498F-077F-4ABC-95CB-536B276C2962
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 9439B717-FF86-4B86-8AD8-E42BFA5CBE33
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 9622A91A-B752-4849-ABF1-BDA73D4631FC
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 997DC11C-C6BF-4088-9681-15D284BD7317
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 9986F303-03A5-4F9F-A1ED-6F8E6F2129B4
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 9D583245-3C2F-4E65-8775-C8A11413C54E
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC A4669BE7-F51A-425A-BB74-F17F083A7634
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC ACAC9803-3826-4E45-B2B3-9EB9C2104765
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC AEFAD5E9-5880-44C2-A3B8-C15CBD285C13
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC AFC2AFC4-E079-4157-ABAC-B0CA14FC836A
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC B3230CA8-0981-406B-AE37-D0C320D3656F
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC B6360546-988E-4DF5-966F-506F0560352D
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC B855B3B2-6F06-416F-9B6B-7E8D3B887161
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC B8BE3F2A-1C3E-4473-B0BD-BA6CEA8151BA
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC BA89F9BC-3DE2-4F82-B374-EF5C8F1B4868
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC C6C2A092-EC1D-4FF9-9377-319E8CD4BE02
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC D079A1AE-A121-4560-9593-33402DB57C00
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC D14362EC-0243-4DC3-A804-0DAB5AF646B7
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC D4BD5E41-E959-4323-8095-90E463EE8A38
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC D53D021C-9C6F-44A8-AF10-38C0D34146D6
