"NK_ApplicationComment","NK_Codetable","NK_Indication"
"7181BB89-7849-436A-AE71-1339C846814E","02D915EE-FE03-4C09-92E4-A81AC0B2DE50","F30C6332-3188-427F-8515-1E51F27658C1"
"018BF2ED-F4E7-4BA3-9087-F922A5340527","02DDBFF0-EBE5-4950-80E2-556273CE4763","52580AD0-38CB-4413-86B0-8931CC29C52C"
"018BF2ED-F4E7-4BA3-9087-F922A5340527","02DDBFF0-EBE5-4950-80E2-556273CE4763","5FE0BFE0-44F7-4A32-8E1B-2DFC8F06C63B"
"018BF2ED-F4E7-4BA3-9087-F922A5340527","02DDBFF0-EBE5-4950-80E2-556273CE4763","6EF2AF0E-9F88-4E84-8A9C-71AC5D6FDFC4"
"018BF2ED-F4E7-4BA3-9087-F922A5340527","02DDBFF0-EBE5-4950-80E2-556273CE4763","981B23E7-03D3-4333-B4C1-DF79953D1750"
"018BF2ED-F4E7-4BA3-9087-F922A5340527","02DDBFF0-EBE5-4950-80E2-556273CE4763","E4336A2A-E365-48E4-8193-C791379FDDF6"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","00813B99-E859-414A-9DED-A57B89330B3E"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","0ECD7237-4F3A-48BC-BAE2-8D65C7214E04"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","2C3E93EE-8595-40F9-916C-DC6146F7941E"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","39A3557F-5F30-4296-8F1C-C973CE8D107D"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","5A624F2B-7AF6-4FE8-AF21-5514255D3541"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","74306e3a-9ac5-4c30-9599-407872c44724"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","7C7883EE-D53C-42D2-8B8F-2EA0A2EA21FA"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","89527C8A-0FFE-49CE-A055-46B5C623E324"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","A447A3F4-2BE8-45AA-878F-56843570FF99"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","B6EB6702-02F0-4E75-B290-F4EB13752845"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","C48A3130-3738-4D5F-AFC1-414A248D12C1"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","D190FDF8-6E11-4CE2-B61F-DDEC5EC08893"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","D6C1A8CF-210C-4282-B307-1C7CBA0C2D52"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","D751F1E5-D74D-4BF8-BB76-2E5A657D96E8"
"D0E2A47A-7215-48B0-8841-5BF972E081A4","02EB7D5E-E9DE-4657-BE65-6C1C2225CA27","F54C1DC6-DC9C-48D0-93F6-3ED5722BD56E"
"5A9C13BF-8758-4089-9EA1-2F39907BA692","034FAC5F-EA4F-4D05-9A3A-F424A43D495A","676639E8-790C-4705-8AB7-28688487EC07"
"6E0B799C-85B5-4860-B5FD-22992276A749","03ED7785-6AC0-46ED-AD9A-D77409FD1DAC","05D2B614-7CA8-4445-801E-D62CF5998C5C"
"6E0B799C-85B5-4860-B5FD-22992276A749","03ED7785-6AC0-46ED-AD9A-D77409FD1DAC","D3E0A59D-07F6-4CC6-A9C5-C1564089E1AF"
"PER","043F86780EAF3B8B684D5FAFABDA9AF35144","f6c4b7a1-4150-4b10-a1ab-d38be99d4357"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","1117017C-FB9B-4210-AB46-761A4C081BF3"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","153E27C6-0FBB-4B68-BC68-6D6ED9E17CC5"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","4ABE6B62-2905-4657-A7FE-883F46379A7D"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","4B868400-C35B-47EC-A41C-728A03F284A1"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","81F2C2AD-7F09-4C30-9787-DC7E9AE6C593"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","8B54D119-31C6-458B-B06E-E105784501DB"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","A65F76C1-B2FD-458C-A67F-451EE40AC2BF"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","A8144A5F-9ADF-4686-A375-5F835534B8F7"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","A9CF9730-72A1-4B5D-9988-834AC3EDE205"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","AA658FB6-9CED-4BFC-896C-B4BC9B780F69"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","C0407429-4929-4D72-9FF0-E3F3A8743691"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","E75FD44E-C2EE-4534-B730-88EE82AEBBD2"
"E59DCB81-F826-4596-ACFE-CD756AC17906","04A3DC94-A480-44F2-8908-E12889B6E19D","EC51644D-807A-43AC-A850-D557F981FE3E"
"CA1E32D7-0122-4C24-A7FE-1197E52E190F","04C5FF65-55D5-4FB9-ADB4-AF41C9DA6E6C","5CF39558-5E9C-4FF5-9A07-F21FE9A56AF3"
"CA1E32D7-0122-4C24-A7FE-1197E52E190F","04C5FF65-55D5-4FB9-ADB4-AF41C9DA6E6C","5EAB7976-5F1B-4B39-A30B-2462DEDE52CD"
"CA1E32D7-0122-4C24-A7FE-1197E52E190F","04C5FF65-55D5-4FB9-ADB4-AF41C9DA6E6C","B0FDB5DB-E83C-4DAF-9046-AF7B2CD42E1D"
"CA1E32D7-0122-4C24-A7FE-1197E52E190F","04C5FF65-55D5-4FB9-ADB4-AF41C9DA6E6C","E4D0AD7E-2C80-40D7-B5A7-46F29DAF9E34"
"D3C18AE0-5FE8-4FBC-A2EC-02C33292175E","056A0617-A3AD-4AC5-82AA-39C068A2397E","7B72D697-BC62-4A1C-B202-6C9E5D122AD5"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","1040008D-B544-41D9-9F0E-7E8C0C11A472"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","2DB80683-C88A-476A-9C53-9EEA64072A50"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","4228BE20-9E9E-4696-B41C-3CCED1E17E43"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","7FFFF09C-7919-4F0F-9E4E-0DE380FACFCF"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","9B3D47B9-8156-42D9-BF83-52E7CE82B96D"
