NK_PermissionHolder,NK_Product
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,14A46E97-A868-46C2-AF01-B2EFB0722832
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,151FA6B1-77D7-44CC-B51F-03738FA0F672
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,157AA0E2-523D-4E6B-8BD9-407C7326D6EB
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,17D2CEA2-8612-460F-A8C4-11966612DBD7
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,17EE8B29-646B-478F-8113-464222BF91A9
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,18CA0130-308C-441C-9E72-9C5C71CA5629
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,196EA0CB-64DF-4041-B0C0-BA6886761921
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,198DB394-F9EF-47D5-BB0C-ADE782CDB893
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,1A421BAF-17E4-4386-A661-4679A4D59DC6
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,1B467F20-7380-4B2B-8983-15DB28DF7558
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,1B6DAE32-033E-442A-89FA-DD19D227A98B
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,1C68A0F6-EE25-4C2C-BA12-837CD2BF2E65
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,1DB9C21E-9FBA-4B93-ADA9-0D4B3BE9FBBF
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,23AC25F9-D00A-4E60-91A6-967ECFD90D64
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,23C5CCB9-3863-42DB-9688-17565978C5C7
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,246ECF14-69D0-45A8-90F0-062EDE32F422
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,24DF9479-2B7A-4BBB-9DC3-54B2E83E93E9
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,264DCF4C-E423-4D0F-BF94-9A3EB9C3AABE
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,26961CDE-871E-4E5A-BD11-74B558CD0D03
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,279B72DD-21EB-4AB2-B65F-9A71D923AF18
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,27E6F484-EE63-43D7-A1F9-5369FF171CF1
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,2A5717E9-0423-4B37-BE6C-F28DAE8F9DB3
